sampledate,depth,wtemp,o2
4/4/84,12,3.2,8.3
4/4/84,13,3.2,8.3
4/4/84,14,3.3,4.9
4/4/84,15,3.3,2.3
4/4/84,16,3.4,1.3
4/4/84,17,3.4,1.2
4/4/84,18,3.5,0.6
4/4/84,19,3.8,0.2
5/7/84,0,8.5,11.1
5/7/84,1,8.5,11
5/7/84,2,8.5,11
5/7/84,3,8.5,11
5/7/84,4,8.5,11
5/7/84,5,8.5,10.9
5/7/84,6,8.5,10.9
5/7/84,7,8.5,10.9
5/7/84,8,8.5,10.9
5/7/84,9,8.5,10.9
5/7/84,10,8.4,10.9
5/7/84,11,8.4,10.9
5/7/84,12,7.5,10.9
5/7/84,13,6.6,10.9
5/7/84,14,6.5,10.9
5/7/84,15,6.2,10.9
5/7/84,16,6.1,10.8
5/7/84,17,6,10.6
5/7/84,18,5.9,10.5
5/7/84,19,5.9,10.5
5/24/84,0,13.2,9.8
5/24/84,1,13.2,9.8
5/24/84,2,13.2,9.8
5/24/84,3,13.2,9.8
5/24/84,4,13.2,9.8
5/24/84,5,13.1,9.7
5/24/84,6,13.1,9.7
5/24/84,7,13,9.7
5/24/84,8,12.5,9.8
5/24/84,9,11.7,9.8
5/24/84,10,10.2,9.8
5/24/84,11,9.7,9.6
